Name,Quantity,Component
"U1",1," ATtiny"
"U2",1," Temperature Sensor [TMP36]"
"D1",1,"Red LED"
"R1",1,"220 Ω Resistor"
"Bat2",1,"3 batteries, AA, no 1.5V Battery"
