Name,Quantity,Component
"U1",1," Arduino Uno R3"
"U2",1," LCD 16 x 2"
"Rpot1",1,"250 kΩ Potentiometer"
"R1",1,"90.9 kΩ Resistor"
"R2",1,"10 kΩ Resistor"
"R3",1,"220 Ω Resistor"
"P1",1,"30 , 5  Power Supply"
